user_id,num_relevant_items_test,num_recommended_items,precision@20,recall@20,f1@20,hit_rate@20,ap@20,ndcg@20
AE22EJZ4354VB7MN4IE2CDGHA2DQ,1,20,0.0,0.0,0.0,0.0,0.0,0.0
AE25PBFVZPUNBOKFL4PAL7Z3MQRA,5,20,0.0,0.0,0.0,0.0,0.0,0.0
AE2HXICMT6PERVL3EOWNRJ6Z4Q6Q,4,20,0.05,0.25,0.08333333333333334,1.0,0.041666666666666664,0.13905617951077562
AE2KIIHPQKO3QZ6TBKHQTZYPC65A,5,20,0.05,0.2,0.08000000000000002,1.0,0.015384615384615385,0.0890802702182344
AE2UE4MFTXIDF6K3CJGS6DY5L2FA,11,20,0.05,0.09090909090909091,0.06451612903225806,1.0,0.045454545454545456,0.13083036905940468
AE32PLWNEOAK7WTWD6OCGOZI6GFQ,3,20,0.0,0.0,0.0,0.0,0.0,0.0
AE372JACMR3YN6SDAIZM4UBJPFDQ,4,20,0.0,0.0,0.0,0.0,0.0,0.0
AE3C7PMJA35ZAQFQSUKDNDNM2VFQ,5,20,0.05,0.2,0.08000000000000002,1.0,0.2,0.3391602052736161
AE3EAPQJCJJ4AIY7I7SDAWLVSZOQ,4,20,0.0,0.0,0.0,0.0,0.0,0.0
AE3TGLTUPIVZRH5J6CUCYFDBIVPA,10,20,0.0,0.0,0.0,0.0,0.0,0.0
AE4QPNDMOUJFWU35OGY2YJBROXGQ,4,20,0.0,0.0,0.0,0.0,0.0,0.0
AE5VDPZLE6KSSZ3ZYPWBTL7K5NRQ,4,20,0.05,0.25,0.08333333333333334,1.0,0.041666666666666664,0.13905617951077562
AE62UDFPD3BEKKRXMESTT3GKFVYQ,6,20,0.0,0.0,0.0,0.0,0.0,0.0
AE6CQMYA5XSC535FMQ6H2JIKNXIQ,4,20,0.0,0.0,0.0,0.0,0.0,0.0
AE7O4IIUXBOQ6L7PSTRMIYDO7BIA,4,20,0.0,0.0,0.0,0.0,0.0,0.0
AE7TOMCDC2DAY3YFLXOQZW43AMZA,8,20,0.0,0.0,0.0,0.0,0.0,0.0
AE7WHU3UCQUDUCFJNDF2W7HYOEPQ,4,20,0.0,0.0,0.0,0.0,0.0,0.0
AEAA26D2TFX66UIIKD2FI542SDJA,5,20,0.0,0.0,0.0,0.0,0.0,0.0
AEAGXXU3YJYYJZGT2G6KPSFKBSBQ,3,20,0.0,0.0,0.0,0.0,0.0,0.0
AEAHDPMXF4B5ESUXE4X562FL2W3Q,5,20,0.0,0.0,0.0,0.0,0.0,0.0
AEANKKCF5VOBIDS3AHADGQPILU3Q,4,20,0.0,0.0,0.0,0.0,0.0,0.0
AEAPBPDVH2ITSUQTUV3AZN5V3RXA,3,20,0.05,0.3333333333333333,0.08695652173913045,1.0,0.030303030303030304,0.1309019901681972
AEAYUR2R2FT3N3LMIZWYWDM4FBZA,4,20,0.0,0.0,0.0,0.0,0.0,0.0
AEC426YS2TXDETNJP3JX4IASM2YQ,5,20,0.0,0.0,0.0,0.0,0.0,0.0
AECCJOCQKV2ER7ALRF44VF6HTK7A,4,20,0.0,0.0,0.0,0.0,0.0,0.0
AECKSBJYAZWKZ63E2BZSBHRIZJWQ,8,20,0.05,0.125,0.07142857142857144,1.0,0.0078125,0.061882569356956636
AECNSWIZBB6JV3THYTSJXOEGIW6A,9,20,0.0,0.0,0.0,0.0,0.0,0.0
AECODE3N3FXWX5CUCYZ4QAHDB3LA,4,20,0.0,0.0,0.0,0.0,0.0,0.0
AECSMZMYBPBX53YCHTZ3CRK36A4Q,4,20,0.0,0.0,0.0,0.0,0.0,0.0
AECUATULNRE6KG2NNSWVCDAY573A,4,20,0.0,0.0,0.0,0.0,0.0,0.0
AEDHMANR37ICBECILSOLAC7GGC7Q,4,20,0.0,0.0,0.0,0.0,0.0,0.0
AEDM3XZZGZRPQHR6C3DAGJAMG5XA,7,20,0.05,0.14285714285714285,0.07407407407407408,1.0,0.14285714285714285,0.27487633291429087
AEDMTELLP2YAZTKGF3QDW62CTMXA,6,20,0.0,0.0,0.0,0.0,0.0,0.0
AEE3FS6LSFPEOUNHJ5QII5XUMQDA,3,20,0.0,0.0,0.0,0.0,0.0,0.0
AEE553EJAHIVIBVOBKLAEVVECRLQ,4,20,0.0,0.0,0.0,0.0,0.0,0.0
AEEI25ROY2PE3LJVDFU2OWY7D2TA,3,20,0.0,0.0,0.0,0.0,0.0,0.0
AEELHIGDXVFHMXLL6QPJFTF6IU5Q,3,20,0.0,0.0,0.0,0.0,0.0,0.0
